country,gender,age_group,year,unemployment_rate
Argentina,Female,15-24,2019,28.78
Argentina,Female,25+,2019,8.19
Argentina,Male,15+,2018,8.2
Argentina,Male,15-24,2018,20.85
Argentina,Male,25+,2018,6.04
Argentina,Female,15+,2018,10.51
Argentina,Female,15-24,2018,27.77
Argentina,Female,25+,2018,7.89
Argentina,Male,15+,2017,7.51
Argentina,Male,15-24,2017,19.86
Argentina,Male,25+,2017,5.28
Argentina,Female,15+,2017,9.45
Argentina,Female,15-24,2017,26.9
Argentina,Female,25+,2017,6.81
Argentina,Male,15+,2014,6.47
Argentina,Male,15-24,2014,16.71
Argentina,Male,25+,2014,4.51
Argentina,Female,15+,2014,8.36
Argentina,Female,15-24,2014,22.36
Argentina,Female,25+,2014,6.21
Argentina,Male,15+,2013,6.1
Argentina,Male,15-24,2013,16.99
Argentina,Male,25+,2013,4.01
Argentina,Female,15+,2013,8.46
Argentina,Female,15-24,2013,23.51
Argentina,Female,25+,2013,6.16
Armenia,Male,15+,2021,12.98
Armenia,Male,15-24,2021,25.21
Armenia,Male,25+,2021,11.91
Armenia,Female,15+,2021,7.27
Armenia,Female,15-24,2021,19.66
Armenia,Female,25+,2021,6.36
Armenia,Male,15+,2020,14.94
Armenia,Male,15-24,2020,25.42
Armenia,Male,25+,2020,13.84
Armenia,Female,15+,2020,9.58
Armenia,Female,15-24,2020,22.14
Armenia,Female,25+,2020,8.58
Armenia,Male,15+,2019,14.03
Armenia,Male,15-24,2019,26.01
Armenia,Male,25+,2019,12.65
Armenia,Female,15+,2019,10.37
Armenia,Female,15-24,2019,23.54
Armenia,Female,25+,2019,9.01
Armenia,Male,15+,2018,14.92
Armenia,Male,15-24,2018,24.66
Armenia,Male,25+,2018,13.78
Armenia,Female,15+,2018,11.43
Armenia,Female,15-24,2018,29.72
Armenia,Female,25+,2018,9.4
Armenia,Male,15+,2017,17.91
Armenia,Male,15-24,2017,32.81
Armenia,Male,25+,2017,16.19
Armenia,Female,15+,2017,17.48
Armenia,Female,15-24,2017,44.82
Armenia,Female,25+,2017,14.68
Armenia,Male,15+,2016,17.73
Armenia,Male,15-24,2016,29.51
Armenia,Male,25+,2016,16.25
Armenia,Female,15+,2016,17.49
Armenia,Female,15-24,2016,45.7
Armenia,Female,25+,2016,14.68
Armenia,Male,15+,2015,17.36
Armenia,Male,15-24,2015,27.99
Armenia,Male,25+,2015,15.81
Armenia,Female,15+,2015,19.23
Armenia,Female,15-24,2015,36.7
Armenia,Female,25+,2015,16.96
Armenia,Male,15+,2014,15.68
Armenia,Male,15-24,2014,30.61
Armenia,Male,25+,2014,13.47
Armenia,Female,15+,2014,19.38
Armenia,Female,15-24,2014,44.53
Armenia,Female,25+,2014,16.18
Armenia,Male,15+,2013,14.54
Armenia,Male,15-24,2013,31.88
Armenia,Male,25+,2013,12.01
Armenia,Female,15+,2013,18.75
Armenia,Female,15-24,2013,42.08
Armenia,Female,25+,2013,16.03
Australia,Male,15+,2022,3.77
Australia,Male,15-24,2022,9.05
Australia,Male,25+,2022,2.79
Australia,Female,15+,2022,3.63
Australia,Female,15-24,2022,7.22
Australia,Female,25+,2022,2.92
Australia,Male,15+,2021,5.21
Australia,Male,15-24,2021,12.65
Australia,Male,25+,2021,3.9
Australia,Female,15+,2021,5.01
Australia,Female,15-24,2021,9.84
Australia,Female,25+,2021,4.1
Australia,Male,15+,2020,6.55
Australia,Male,15-24,2020,15.25
Australia,Male,25+,2020,5.01
Australia,Female,15+,2020,6.35
Australia,Female,15-24,2020,13.15
Australia,Female,25+,2020,5.04
Australia,Male,15+,2019,5.21
Australia,Male,15-24,2019,12.82
Australia,Male,25+,2019,3.78
Australia,Female,15+,2019,5.11
Australia,Female,15-24,2019,10.61
Australia,Female,25+,2019,4.0
Australia,Male,15+,2018,5.28
Australia,Male,15-24,2018,12.83
Australia,Male,25+,2018,3.85
Australia,Female,15+,2018,5.32
Australia,Female,15-24,2018,10.67
Australia,Female,25+,2018,4.22
Australia,Male,15+,2017,5.53
Australia,Male,15-24,2017,13.65
Australia,Male,25+,2017,3.99
Australia,Female,15+,2017,5.67
Australia,Female,15-24,2017,11.47
Australia,Female,25+,2017,4.47
Australia,Male,15+,2016,5.65
Australia,Male,15-24,2016,13.82
Australia,Male,25+,2016,4.1
